title,reference,nature,business_type,price,price_on_request,district,municipality,parish,bedrooms,bathrooms,gross_area,useful_area,description,construction_status,energy_certificate,images,source_url
Apartamento T4 Novo Para Venda No Fundao Bloco A Fundao Apa 149,APA-149,apartment,sale,,true,Castelo Branco,Fundão,,4,,,,,under_construction,,,http://www.covialvi.com/imovel/apartamento-t4-novo-para-venda-no-fundao-bloco-a-fundao-apa-149/
Apartamento Novo T2 Pronto Habitar Covilha Apa 106,APA-106,apartment,sale,,true,Castelo Branco,Covilhã,,2,,,,,under_construction,,,http://www.covialvi.com/imovel/apartamento-novo-t2-pronto-habitar-covilha-apa-106/
Apartamento T2 Novo Para Venda No Fundao Bloco B Fundao Apa 157,APA-157,apartment,sale,,true,Castelo Branco,Fundão,,2,,,,,under_construction,,,http://www.covialvi.com/imovel/apartamento-t2-novo-para-venda-no-fundao-bloco-b-fundao-apa-157/
Apartamento T3 Novo Para Venda No Fundao Fundao Apa 154,APA-154,apartment,sale,,true,Castelo Branco,Fundão,,3,,,,,under_construction,,,http://www.covialvi.com/imovel/apartamento-t3-novo-para-venda-no-fundao-fundao-apa-154/
Centro Negocios Logistica E Servicos Do Prado Tomar Nau 165 A,,commercial,sale,,true,Santarém,Tomar,,,,,,,new,,,http://www.covialvi.com/imovel/centro-negocios-logistica-e-servicos-do-prado-tomar-nau-165-a/
Apartamento T2 Novo Praia Da Luz Lagos Lagos Apa 131,APA-131,apartment,sale,,true,Faro,Lagos,,2,,,,,under_construction,,,http://www.covialvi.com/imovel/apartamento-t2-novo-praia-da-luz-lagos-lagos-apa-131/
Apartamento T2 Rc Drt Quinta Dos Negreiros Em Construcao Covilha Apa 126,APA-126,apartment,sale,,true,Castelo Branco,Covilhã,,2,,,,,under_construction,,,http://www.covialvi.com/imovel/apartamento-t2-rc-drt-quinta-dos-negreiros-em-construcao-covilha-apa-126/
Quinta Da Carapalha Lt 344 T3 Castelo Branco Apa 102,APA-102,land,sale,,true,Castelo Branco,Castelo Branco,,3,,,,,new,,,http://www.covialvi.com/imovel/quinta-da-carapalha-lt-344-t3-castelo-branco-apa-102/
Arrenda Se Espaco Comercial Tortosendo Covilha Bot 120,BOT-120,commercial,rent,,true,Castelo Branco,Covilhã,,,,,,,new,,,http://www.covialvi.com/imovel/arrenda-se-espaco-comercial-tortosendo-covilha-bot-120/
Moradia Isolada T31 Lote 11 Castelo Branco Castelo Branco Hab 36,HAB-36,house,sale,,true,Castelo Branco,Castelo Branco,,31,,,,,new,,,http://www.covialvi.com/imovel/moradia-isolada-t31-lote-11-castelo-branco-castelo-branco-hab-36/
